WigleWifi-1.4,appRelease=2.26,model=Nexus 5,release=6.0.1,device=hammerhead,display=M4B30Z,board=hammerhead,brand=google
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],2017-11-07 15:49:30,44,-61,32.10346077,35.20928742,727,47,WIFI
1c:b9:c4:16:28:ec,Ariel_University,[ESS],2017-11-07 15:49:30,52,-49,32.10346077,35.20928742,727,47,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],2017-11-07 15:49:30,11,-56,32.10346077,35.20928742,727,47,WIFI
1c:b9:c4:16:28:e8,Ariel_University,[ESS],2017-11-07 15:49:30,1,-51,32.10346077,35.20928742,727,47,WIFI
24:79:2a:2c:3d:68,Ariel_University,[ESS],2017-11-07 15:49:30,11,-73,32.10346077,35.20928742,727,47,WIFI
24:79:2a:2c:3d:6c,Ariel_University,[ESS],2017-11-07 15:49:30,44,-77,32.10346077,35.20928742,727,47,WIFI
1c:b9:c4:96:28:e7,,[WPA2-PSK-CCMP][ESS],2017-11-07 15:49:30,52,-50,32.10346077,35.20928742,727,47,WIFI
ec:8c:a2:08:78:c8,Ariel_University,[ESS],2017-11-07 15:49:30,6,-82,32.10346077,35.20928742,727,47,WIFI
34:8f:27:20:8c:18,Ariel_University,[ESS],2017-11-07 15:49:30,1,-77,32.10346077,35.20928742,727,47,WIFI
24:79:2a:ac:3d:67,,[WPA2-PSK-CCMP][ESS],2017-11-07 15:49:30,44,-79,32.10346077,35.20928742,727,47,WIFI
ec:8c:a2:08:78:cc,Ariel_University,[ESS],2017-11-07 15:49:30,40,-89,32.10346077,35.20928742,727,47,WIFI
42501_7211_3084804,012 Mobile,UNKNOWN;il,2017-11-07 15:49:30,0,-113,32.10346077,35.20928742,727,47,GSM
00:25:86:cb:fd:f8,,[ESS],2017-11-07 15:49:36,9,-79,32.10346876,35.2092456,737,14,WIFI
1c:b9:c4:12:90:b8,Ariel_University,[ESS],2017-11-07 15:49:36,11,-84,32.10346876,35.2092456,737,14,WIFI
1c:b9:c4:12:90:bc,Ariel_University,[ESS],2017-11-07 15:49:36,40,-88,32.10346876,35.2092456,737,14,WIFI
1c:b9:c4:16:e5:a8,Ariel_University,[ESS],2017-11-07 15:49:42,11,-84,32.10347186,35.20924617,741,23,WIFI
30:e1:71:0d:e0:63,DIRECT-61-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-11-07 15:49:48,6,-88,32.1031906,35.20937249,619,22,WIFI
24:79:2a:2c:3d:68,Ariel_University,[ESS],2017-11-07 15:49:54,11,-64,32.10321513,35.20934597,645,14,WIFI
ec:8c:a2:08:78:cc,Ariel_University,[ESS],2017-11-07 15:50:00,40,-83,32.10323218,35.20933875,650,14,WIFI
c4:0b:cb:80:23:eb,Redmi,[WPA2-PSK-CCMP][ESS],2017-11-07 16:35:54,6,-71,32.10340108,35.20927671,685,16,WIFI
c4:0b:cb:80:23:eb,Redmi,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,6,-87,32.0337907333349,35.2349569233357,0,18.499885559082,WIFI
1c:b9:c4:16:f1:58,Ariel_University,[ESS],1970-01-01 02:00:00,11,-88,32.0557827216678,35.2268437766683,0,18.499885559082,WIFI
8c:0c:90:6e:16:88,,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,8,-92,32.0667389233342,35.2228018833346,0,18.499885559082,WIFI
1c:b9:c4:16:f4:28,Ariel_University,[ESS],1970-01-01 02:00:00,11,-90,32.0674286600008,35.2225474300012,0,18.499885559082,WIFI
ec:8c:a2:88:78:c7,,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,40,-88,32.0730791950007,35.220462870001,0,18.499885559082,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],1970-01-01 02:00:00,11,-64,32.0997932266667,35.2106076966668,0,18.499885559082,WIFI
c4:0b:cb:80:23:eb,Redmi,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,6,-60,32.0997932266667,35.2106076966668,0,18.499885559082,WIFI
24:79:2a:2c:3d:68,Ariel_University,[ESS],1970-01-01 02:00:00,11,-71,32.0997932266667,35.2106076966668,0,18.499885559082,WIFI
1c:b9:c4:16:e5:a8,Ariel_University,[ESS],1970-01-01 02:00:00,11,-92,32.0997932266667,35.2106076966668,0,18.499885559082,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-69,32.0999523966667,35.2105489766668,0,18.499885559082,WIFI
1c:b9:c4:16:28:ec,Ariel_University,[ESS],1970-01-01 02:00:00,52,-57,32.0999523966667,35.2105489766668,0,18.499885559082,WIFI
1c:b9:c4:16:28:e8,Ariel_University,[ESS],1970-01-01 02:00:00,1,-57,32.0999523966667,35.2105489766668,0,18.499885559082,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],1970-01-01 02:00:00,11,-61,32.0999523966667,35.2105489766668,0,18.499885559082,WIFI
c4:0b:cb:80:23:eb,Redmi,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,6,-60,32.0999523966667,35.2105489766668,0,18.499885559082,WIFI
24:79:2a:2c:3d:68,Ariel_University,[ESS],1970-01-01 02:00:00,11,-75,32.0999523966667,35.2105489766668,0,18.499885559082,WIFI
1c:b9:c4:16:e5:a8,Ariel_University,[ESS],1970-01-01 02:00:00,11,-92,32.0999523966667,35.2105489766668,0,18.499885559082,WIFI
1c:b9:c4:96:28:e7,,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,52,-57,32.0999523966667,35.2105489766668,0,18.499885559082,WIFI
24:79:2a:2c:3d:6c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-84,32.0999523966667,35.2105489766668,0,18.499885559082,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-68,32.1001115666667,35.2104902566668,0,18.499885559082,WIFI
1c:b9:c4:16:28:ec,Ariel_University,[ESS],1970-01-01 02:00:00,52,-56,32.1001115666667,35.2104902566668,0,18.499885559082,WIFI
1c:b9:c4:16:28:e8,Ariel_University,[ESS],1970-01-01 02:00:00,1,-58,32.1001115666667,35.2104902566668,0,18.499885559082,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],1970-01-01 02:00:00,11,-88,32.1001115666667,35.2104902566668,0,18.499885559082,WIFI
c4:0b:cb:80:23:eb,Redmi,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,6,-60,32.1001115666667,35.2104902566668,0,18.499885559082,WIFI
24:79:2a:2c:3d:68,Ariel_University,[ESS],1970-01-01 02:00:00,11,-75,32.1001115666667,35.2104902566668,0,18.499885559082,WIFI
1c:b9:c4:16:e5:a8,Ariel_University,[ESS],1970-01-01 02:00:00,11,-87,32.1001115666667,35.2104902566668,0,18.499885559082,WIFI
1c:b9:c4:96:28:e7,,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,52,-57,32.1001115666667,35.2104902566668,0,18.499885559082,WIFI
24:79:2a:2c:3d:6c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-84,32.1001115666667,35.2104902566668,0,18.499885559082,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-69,32.1002707366667,35.2104315366668,0,18.499885559082,WIFI
1c:b9:c4:16:28:ec,Ariel_University,[ESS],1970-01-01 02:00:00,52,-59,32.1002707366667,35.2104315366668,0,18.499885559082,WIFI
1c:b9:c4:16:28:e8,Ariel_University,[ESS],1970-01-01 02:00:00,1,-57,32.1002707366667,35.2104315366668,0,18.499885559082,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],1970-01-01 02:00:00,11,-66,32.1002707366667,35.2104315366668,0,18.499885559082,WIFI
24:79:2a:2c:3d:68,Ariel_University,[ESS],1970-01-01 02:00:00,11,-74,32.1002707366667,35.2104315366668,0,18.499885559082,WIFI
1c:b9:c4:16:e5:a8,Ariel_University,[ESS],1970-01-01 02:00:00,11,-87,32.1002707366667,35.2104315366668,0,18.499885559082,WIFI
1c:b9:c4:96:28:e7,,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,52,-59,32.1002707366667,35.2104315366668,0,18.499885559082,WIFI
24:79:2a:2c:3d:6c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-86,32.1002707366667,35.2104315366668,0,18.499885559082,WIFI
24:79:2a:ac:3d:67,,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,44,-86,32.1002707366667,35.2104315366668,0,18.499885559082,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-69,32.1004299066667,35.2103728166668,0,18.499885559082,WIFI
1c:b9:c4:16:28:ec,Ariel_University,[ESS],1970-01-01 02:00:00,52,-55,32.1004299066667,35.2103728166668,0,18.499885559082,WIFI
1c:b9:c4:16:28:e8,Ariel_University,[ESS],1970-01-01 02:00:00,1,-59,32.1004299066667,35.2103728166668,0,18.499885559082,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],1970-01-01 02:00:00,11,-64,32.1004299066667,35.2103728166668,0,18.499885559082,WIFI
24:79:2a:2c:3d:68,Ariel_University,[ESS],1970-01-01 02:00:00,11,-81,32.1004299066667,35.2103728166668,0,18.499885559082,WIFI
1c:b9:c4:96:28:e7,,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,52,-55,32.1004299066667,35.2103728166668,0,18.499885559082,WIFI
24:79:2a:2c:3d:6c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-86,32.1004299066667,35.2103728166668,0,18.499885559082,WIFI
24:79:2a:ac:3d:67,,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,44,-86,32.1004299066667,35.2103728166668,0,18.499885559082,WIFI
c4:0b:cb:80:23:eb,Redmi,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,6,-60,32.1004299066667,35.2103728166668,0,18.499885559082,WIFI
34:8f:27:20:8c:18,Ariel_University,[ESS],1970-01-01 02:00:00,1,-84,32.1004299066667,35.2103728166668,0,18.499885559082,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-69,32.1005890766667,35.2103140966668,0,18.499885559082,WIFI
1c:b9:c4:16:28:ec,Ariel_University,[ESS],1970-01-01 02:00:00,52,-55,32.1005890766667,35.2103140966668,0,18.499885559082,WIFI
1c:b9:c4:16:28:e8,Ariel_University,[ESS],1970-01-01 02:00:00,1,-54,32.1005890766667,35.2103140966668,0,18.499885559082,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],1970-01-01 02:00:00,11,-66,32.1005890766667,35.2103140966668,0,18.499885559082,WIFI
24:79:2a:2c:3d:68,Ariel_University,[ESS],1970-01-01 02:00:00,11,-81,32.1005890766667,35.2103140966668,0,18.499885559082,WIFI
1c:b9:c4:96:28:e7,,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,52,-55,32.1005890766667,35.2103140966668,0,18.499885559082,WIFI
c4:0b:cb:80:23:eb,Redmi,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,6,-61,32.1005890766667,35.2103140966668,0,18.499885559082,WIFI
34:8f:27:20:8c:18,Ariel_University,[ESS],1970-01-01 02:00:00,1,-85,32.1005890766667,35.2103140966668,0,18.499885559082,WIFI
ec:8c:a2:08:78:c8,Ariel_University,[ESS],1970-01-01 02:00:00,6,-85,32.1005890766667,35.2103140966668,0,18.499885559082,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-69,32.1007482466667,35.2102553766668,0,18.499885559082,WIFI
1c:b9:c4:16:28:ec,Ariel_University,[ESS],1970-01-01 02:00:00,52,-57,32.1007482466667,35.2102553766668,0,18.499885559082,WIFI
1c:b9:c4:16:28:e8,Ariel_University,[ESS],1970-01-01 02:00:00,1,-56,32.1007482466667,35.2102553766668,0,18.499885559082,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],1970-01-01 02:00:00,11,-68,32.1007482466667,35.2102553766668,0,18.499885559082,WIFI
24:79:2a:2c:3d:68,Ariel_University,[ESS],1970-01-01 02:00:00,11,-74,32.1007482466667,35.2102553766668,0,18.499885559082,WIFI
1c:b9:c4:96:28:e7,,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,52,-58,32.1007482466667,35.2102553766668,0,18.499885559082,WIFI
c4:0b:cb:80:23:eb,Redmi,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,6,-64,32.1007482466667,35.2102553766668,0,18.499885559082,WIFI
34:8f:27:20:8c:18,Ariel_University,[ESS],1970-01-01 02:00:00,1,-85,32.1007482466667,35.2102553766668,0,18.499885559082,WIFI
ec:8c:a2:08:78:c8,Ariel_University,[ESS],1970-01-01 02:00:00,6,-85,32.1007482466667,35.2102553766668,0,18.499885559082,WIFI
24:79:2a:ac:3d:67,,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,44,-81,32.1007482466667,35.2102553766668,0,18.499885559082,WIFI
24:79:2a:2c:3d:6c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-81,32.1007482466667,35.2102553766668,0,18.499885559082,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-68,32.1009074166667,35.2101966566668,0,18.499885559082,WIFI
1c:b9:c4:16:28:ec,Ariel_University,[ESS],1970-01-01 02:00:00,52,-54,32.1009074166667,35.2101966566668,0,18.499885559082,WIFI
1c:b9:c4:16:28:e8,Ariel_University,[ESS],1970-01-01 02:00:00,1,-55,32.1009074166667,35.2101966566668,0,18.499885559082,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],1970-01-01 02:00:00,11,-65,32.1009074166667,35.2101966566668,0,18.499885559082,WIFI
24:79:2a:2c:3d:68,Ariel_University,[ESS],1970-01-01 02:00:00,11,-72,32.1009074166667,35.2101966566668,0,18.499885559082,WIFI
1c:b9:c4:96:28:e7,,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,52,-55,32.1009074166667,35.2101966566668,0,18.499885559082,WIFI
c4:0b:cb:80:23:eb,Redmi,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,6,-54,32.1009074166667,35.2101966566668,0,18.499885559082,WIFI
34:8f:27:20:8c:18,Ariel_University,[ESS],1970-01-01 02:00:00,1,-83,32.1009074166667,35.2101966566668,0,18.499885559082,WIFI
24:79:2a:ac:3d:67,,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,44,-81,32.1009074166667,35.2101966566668,0,18.499885559082,WIFI
24:79:2a:2c:3d:6c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-77,32.1009074166667,35.2101966566668,0,18.499885559082,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-67,32.1010665866667,35.2101379366667,0,18.499885559082,WIFI
1c:b9:c4:16:28:ec,Ariel_University,[ESS],1970-01-01 02:00:00,52,-55,32.1010665866667,35.2101379366667,0,18.499885559082,WIFI
1c:b9:c4:16:28:e8,Ariel_University,[ESS],1970-01-01 02:00:00,1,-55,32.1010665866667,35.2101379366667,0,18.499885559082,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],1970-01-01 02:00:00,11,-64,32.1010665866667,35.2101379366667,0,18.499885559082,WIFI
24:79:2a:2c:3d:68,Ariel_University,[ESS],1970-01-01 02:00:00,11,-72,32.1010665866667,35.2101379366667,0,18.499885559082,WIFI
1c:b9:c4:96:28:e7,,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,52,-55,32.1010665866667,35.2101379366667,0,18.499885559082,WIFI
c4:0b:cb:80:23:eb,Redmi,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,6,-64,32.1010665866667,35.2101379366667,0,18.499885559082,WIFI
34:8f:27:20:8c:18,Ariel_University,[ESS],1970-01-01 02:00:00,1,-83,32.1010665866667,35.2101379366667,0,18.499885559082,WIFI
24:79:2a:2c:3d:6c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-81,32.1010665866667,35.2101379366667,0,18.499885559082,WIFI
1c:b9:c4:16:e5:a8,Ariel_University,[ESS],1970-01-01 02:00:00,11,-88,32.1010665866667,35.2101379366667,0,18.499885559082,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-69,32.1012257566667,35.2100792166667,0,18.499885559082,WIFI
1c:b9:c4:16:28:ec,Ariel_University,[ESS],1970-01-01 02:00:00,52,-56,32.1012257566667,35.2100792166667,0,18.499885559082,WIFI
1c:b9:c4:16:28:e8,Ariel_University,[ESS],1970-01-01 02:00:00,1,-55,32.1012257566667,35.2100792166667,0,18.499885559082,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],1970-01-01 02:00:00,11,-64,32.1012257566667,35.2100792166667,0,18.499885559082,WIFI
24:79:2a:2c:3d:68,Ariel_University,[ESS],1970-01-01 02:00:00,11,-73,32.1012257566667,35.2100792166667,0,18.499885559082,WIFI
1c:b9:c4:96:28:e7,,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,52,-56,32.1012257566667,35.2100792166667,0,18.499885559082,WIFI
c4:0b:cb:80:23:eb,Redmi,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,6,-61,32.1012257566667,35.2100792166667,0,18.499885559082,WIFI
34:8f:27:20:8c:18,Ariel_University,[ESS],1970-01-01 02:00:00,1,-85,32.1012257566667,35.2100792166667,0,18.499885559082,WIFI
24:79:2a:2c:3d:6c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-83,32.1012257566667,35.2100792166667,0,18.499885559082,WIFI
1c:b9:c4:16:e5:a8,Ariel_University,[ESS],1970-01-01 02:00:00,11,-88,32.1012257566667,35.2100792166667,0,18.499885559082,WIFI
24:79:2a:ac:3d:67,,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,44,-83,32.1012257566667,35.2100792166667,0,18.499885559082,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-68,32.101411455,35.2100107100001,0,18.499885559082,WIFI
1c:b9:c4:16:28:ec,Ariel_University,[ESS],1970-01-01 02:00:00,52,-56,32.101411455,35.2100107100001,0,18.499885559082,WIFI
1c:b9:c4:16:28:e8,Ariel_University,[ESS],1970-01-01 02:00:00,1,-53,32.101411455,35.2100107100001,0,18.499885559082,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],1970-01-01 02:00:00,11,-63,32.101411455,35.2100107100001,0,18.499885559082,WIFI
24:79:2a:2c:3d:68,Ariel_University,[ESS],1970-01-01 02:00:00,11,-76,32.101411455,35.2100107100001,0,18.499885559082,WIFI
1c:b9:c4:96:28:e7,,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,52,-56,32.101411455,35.2100107100001,0,18.499885559082,WIFI
c4:0b:cb:80:23:eb,Redmi,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,6,-55,32.101411455,35.2100107100001,0,18.499885559082,WIFI
34:8f:27:20:8c:18,Ariel_University,[ESS],1970-01-01 02:00:00,1,-84,32.101411455,35.2100107100001,0,18.499885559082,WIFI
24:79:2a:2c:3d:6c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-84,32.101411455,35.2100107100001,0,18.499885559082,WIFI
1c:b9:c4:16:e5:a8,Ariel_University,[ESS],1970-01-01 02:00:00,11,-89,32.101411455,35.2100107100001,0,18.499885559082,WIFI
24:79:2a:ac:3d:67,,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,44,-83,32.101411455,35.2100107100001,0,18.499885559082,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-68,32.101570625,35.2099519900001,0,18.499885559082,WIFI
1c:b9:c4:16:28:ec,Ariel_University,[ESS],1970-01-01 02:00:00,52,-56,32.101570625,35.2099519900001,0,18.499885559082,WIFI
1c:b9:c4:16:28:e8,Ariel_University,[ESS],1970-01-01 02:00:00,1,-53,32.101570625,35.2099519900001,0,18.499885559082,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],1970-01-01 02:00:00,11,-67,32.101570625,35.2099519900001,0,18.499885559082,WIFI
24:79:2a:2c:3d:68,Ariel_University,[ESS],1970-01-01 02:00:00,11,-73,32.101570625,35.2099519900001,0,18.499885559082,WIFI
1c:b9:c4:96:28:e7,,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,52,-56,32.101570625,35.2099519900001,0,18.499885559082,WIFI
c4:0b:cb:80:23:eb,Redmi,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,6,-53,32.101570625,35.2099519900001,0,18.499885559082,WIFI
34:8f:27:20:8c:18,Ariel_University,[ESS],1970-01-01 02:00:00,1,-84,32.101570625,35.2099519900001,0,18.499885559082,WIFI
24:79:2a:2c:3d:6c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-80,32.101570625,35.2099519900001,0,18.499885559082,WIFI
1c:b9:c4:16:e5:a8,Ariel_University,[ESS],1970-01-01 02:00:00,11,-90,32.101570625,35.2099519900001,0,18.499885559082,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-71,32.101729795,35.2098932700001,0,18.499885559082,WIFI
1c:b9:c4:16:28:ec,Ariel_University,[ESS],1970-01-01 02:00:00,52,-58,32.101729795,35.2098932700001,0,18.499885559082,WIFI
1c:b9:c4:16:28:e8,Ariel_University,[ESS],1970-01-01 02:00:00,1,-59,32.101729795,35.2098932700001,0,18.499885559082,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],1970-01-01 02:00:00,11,-69,32.101729795,35.2098932700001,0,18.499885559082,WIFI
24:79:2a:2c:3d:68,Ariel_University,[ESS],1970-01-01 02:00:00,11,-71,32.101729795,35.2098932700001,0,18.499885559082,WIFI
1c:b9:c4:96:28:e7,,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,52,-58,32.101729795,35.2098932700001,0,18.499885559082,WIFI
c4:0b:cb:80:23:eb,Redmi,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,6,-68,32.101729795,35.2098932700001,0,18.499885559082,WIFI
34:8f:27:20:8c:18,Ariel_University,[ESS],1970-01-01 02:00:00,1,-84,32.101729795,35.2098932700001,0,18.499885559082,WIFI
24:79:2a:2c:3d:6c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-80,32.101729795,35.2098932700001,0,18.499885559082,WIFI
1c:b9:c4:16:e5:a8,Ariel_University,[ESS],1970-01-01 02:00:00,11,-90,32.101729795,35.2098932700001,0,18.499885559082,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-72,32.101888965,35.2098345500001,0,18.499885559082,WIFI
1c:b9:c4:16:28:ec,Ariel_University,[ESS],1970-01-01 02:00:00,52,-58,32.101888965,35.2098345500001,0,18.499885559082,WIFI
